IdEstablecimiento,Ano,Mes,Numerador,Denominador,MetaSanitaria,Dependencia Administrativa,Nivel de Atención
110425,2025,11,4.0,1.0,MSI,Municipal,Primario
110425,2025,12,1.0,2.0,MSI,Municipal,Primario
110425,2026,1,0.0,0.0,MSI,Municipal,Primario
110425,2026,2,1.0,1.0,MSI,Municipal,Primario
110425,2026,3,0.0,2.0,MSI,Municipal,Primario
110430,2025,10,1.0,,MSI,Municipal,Primario
110430,2025,11,,1.0,MSI,Municipal,Primario
110430,2025,12,,0.0,MSI,Municipal,Primario
110430,2026,1,,1.0,MSI,Municipal,Primario
110430,2026,3,1.0,,MSI,Municipal,Primario
110431,2025,10,2.0,,MSI,Municipal,Primario
110431,2025,11,,2.0,MSI,Municipal,Primario
110431,2025,12,1.0,,MSI,Municipal,Primario
110431,2026,3,1.0,,MSI,Municipal,Primario
110445,2025,10,2.0,2.0,MSI,Municipal,Primario
110445,2025,11,1.0,,MSI,Municipal,Primario
110445,2025,12,,2.0,MSI,Municipal,Primario
110455,2025,10,0.0,,MSI,Municipal,Primario
110470,2025,10,1.0,,MSI,Municipal,Primario
110470,2025,12,,1.0,MSI,Municipal,Primario
110470,2026,3,1.0,,MSI,Municipal,Primario
110475,2025,10,0.0,1.0,MSI,Municipal,Primario
110475,2026,1,1.0,1.0,MSI,Municipal,Primario
110477,2025,11,1.0,,MSI,Servicio de Salud,Primario
110477,2025,12,0.0,,MSI,Servicio de Salud,Primario
110477,2026,2,0.0,,MSI,Servicio de Salud,Primario
110477,2026,3,,1.0,MSI,Servicio de Salud,Primario
110485,2025,10,,1.0,MSI,Municipal,Primario
110485,2025,11,,0.0,MSI,Municipal,Primario
110485,2025,12,0.0,,MSI,Municipal,Primario
110485,2026,3,1.0,,MSI,Municipal,Primario
110490,2025,12,0.0,1.0,MSI,Municipal,Primario
110490,2026,3,0.0,,MSI,Municipal,Primario
110492,2025,10,,0.0,MSI,Municipal,Primario
110492,2025,12,0.0,0.0,MSI,Municipal,Primario
110492,2026,3,0.0,,MSI,Municipal,Primario
110495,2025,10,0.0,2.0,MSI,Municipal,Primario
110495,2025,11,,2.0,MSI,Municipal,Primario
110495,2025,12,0.0,0.0,MSI,Municipal,Primario
110495,2026,3,3.0,,MSI,Municipal,Primario
110503,2025,10,0.0,0.0,MSI,Municipal,Primario
110503,2025,12,1.0,,MSI,Municipal,Primario
110503,2026,2,,0.0,MSI,Municipal,Primario
110503,2026,3,,0.0,MSI,Municipal,Primario
110720,2025,10,1.0,,MSI,Municipal,Primario
110720,2025,11,,1.0,MSI,Municipal,Primario
110720,2026,2,1.0,,MSI,Municipal,Primario
110720,2026,3,,0.0,MSI,Municipal,Primario
110725,2026,1,,1.0,MSI,Municipal,Primario
110735,2025,11,1.0,,MSI,Municipal,Primario
110735,2026,1,,0.0,MSI,Municipal,Primario
110752,2025,10,,1.0,MSI,Municipal,Primario
110752,2025,11,0.0,,MSI,Municipal,Primario
110752,2026,1,1.0,,MSI,Municipal,Primario
110752,2026,2,,0.0,MSI,Municipal,Primario
110754,2025,12,,0.0,MSI,Municipal,Primario
110756,2025,11,,1.0,MSI,Municipal,Primario
110760,2025,10,,0.0,MSI,Servicio de Salud,Primario
110760,2025,11,0.0,0.0,MSI,Servicio de Salud,Primario
110760,2026,1,0.0,,MSI,Servicio de Salud,Primario
110775,2025,10,,0.0,MSI,Municipal,Primario
110775,2026,1,0.0,,MSI,Municipal,Primario
110775,2026,2,0.0,1.0,MSI,Municipal,Primario
110775,2026,3,1.0,,MSI,Municipal,Primario
110778,2025,10,0.0,,MSI,Municipal,Primario
110778,2026,3,,1.0,MSI,Municipal,Primario
110781,2025,10,0.0,,MSI,Municipal,Primario
110783,2026,1,,0.0,MSI,Municipal,Primario
110783,2026,2,,0.0,MSI,Municipal,Primario
111300,2025,10,4.0,2.0,MSI,Servicio de Salud,Primario
111300,2025,11,1.0,7.0,MSI,Servicio de Salud,Primario
111300,2025,12,,4.0,MSI,Servicio de Salud,Primario
111300,2026,1,1.0,3.0,MSI,Servicio de Salud,Primario
111300,2026,2,2.0,2.0,MSI,Servicio de Salud,Primario
111300,2026,3,2.0,5.0,MSI,Servicio de Salud,Primario
111301,2025,10,2.0,3.0,MSI,Servicio de Salud,Primario
111301,2025,11,2.0,2.0,MSI,Servicio de Salud,Primario
111301,2025,12,0.0,2.0,MSI,Servicio de Salud,Primario
111301,2026,1,1.0,6.0,MSI,Servicio de Salud,Primario
111301,2026,2,4.0,3.0,MSI,Servicio de Salud,Primario
111301,2026,3,2.0,1.0,MSI,Servicio de Salud,Primario
111302,2025,10,1.0,1.0,MSI,Servicio de Salud,Primario
111302,2025,11,0.0,9.0,MSI,Servicio de Salud,Primario
111302,2025,12,0.0,3.0,MSI,Servicio de Salud,Primario
111302,2026,1,1.0,3.0,MSI,Servicio de Salud,Primario
111302,2026,2,1.0,3.0,MSI,Servicio de Salud,Primario
111302,2026,3,7.0,1.0,MSI,Servicio de Salud,Primario
111303,2025,10,1.0,5.0,MSI,Municipal,Primario
111303,2025,11,1.0,2.0,MSI,Municipal,Primario
111303,2025,12,0.0,1.0,MSI,Municipal,Primario
111303,2026,1,1.0,3.0,MSI,Municipal,Primario
111303,2026,2,2.0,1.0,MSI,Municipal,Primario
111303,2026,3,1.0,1.0,MSI,Municipal,Primario
111304,2025,10,3.0,3.0,MSI,Servicio de Salud,Primario
111304,2025,11,2.0,3.0,MSI,Servicio de Salud,Primario
111304,2025,12,4.0,3.0,MSI,Servicio de Salud,Primario
111304,2026,1,2.0,1.0,MSI,Servicio de Salud,Primario
111304,2026,2,4.0,,MSI,Servicio de Salud,Primario
111304,2026,3,4.0,1.0,MSI,Servicio de Salud,Primario
111305,2025,10,8.0,4.0,MSI,Servicio de Salud,Primario
111305,2025,11,2.0,5.0,MSI,Servicio de Salud,Primario
111305,2025,12,1.0,5.0,MSI,Servicio de Salud,Primario
111305,2026,1,0.0,0.0,MSI,Servicio de Salud,Primario
111305,2026,2,1.0,4.0,MSI,Servicio de Salud,Primario
111305,2026,3,3.0,7.0,MSI,Servicio de Salud,Primario
111306,2025,10,,1.0,MSI,Servicio de Salud,Primario
111306,2025,11,,0.0,MSI,Servicio de Salud,Primario
111306,2025,12,0.0,0.0,MSI,Servicio de Salud,Primario
111306,2026,1,0.0,0.0,MSI,Servicio de Salud,Primario
111306,2026,2,0.0,0.0,MSI,Servicio de Salud,Primario
111306,2026,3,,0.0,MSI,Servicio de Salud,Primario
111307,2025,10,0.0,,MSI,Servicio de Salud,Primario
111307,2025,12,2.0,0.0,MSI,Servicio de Salud,Primario
111307,2026,1,1.0,1.0,MSI,Servicio de Salud,Primario
111307,2026,2,,2.0,MSI,Servicio de Salud,Primario
111307,2026,3,,3.0,MSI,Servicio de Salud,Primario
111308,2025,10,4.0,3.0,MSI,Servicio de Salud,Primario
111308,2025,11,2.0,4.0,MSI,Servicio de Salud,Primario
111308,2025,12,4.0,,MSI,Servicio de Salud,Primario
111308,2026,1,4.0,1.0,MSI,Servicio de Salud,Primario
111308,2026,2,3.0,2.0,MSI,Servicio de Salud,Primario
111308,2026,3,4.0,5.0,MSI,Servicio de Salud,Primario
111309,2025,10,1.0,0.0,MSI,Servicio de Salud,Primario
111309,2025,11,0.0,0.0,MSI,Servicio de Salud,Primario
111309,2025,12,,0.0,MSI,Servicio de Salud,Primario
111309,2026,1,1.0,1.0,MSI,Servicio de Salud,Primario
