IdEstablecimiento,MS,Inscritos_suma_fonasa
109407,IVa,1102.308
109410,IVa,75.17999999999999
109412,IVa,79.881
109413,IVa,64.911
109414,IVa,209.93099999999998
109416,IVa,3.657
109417,IVa,8.31
109418,IVa,11.883
109419,IVa,9.921
109420,IVa,6.192
109709,IVa,837.21
109711,IVa,570.183
109712,IVa,602.568
109713,IVa,328.218
109715,IVa,330.174
109716,IVa,93.219
109718,IVa,944.67
110160,IVa,2482.854
110300,IVa,0.429
110308,IVa,4765.686
110310,IVa,3034.833
110315,IVa,4286.778
110316,IVa,3517.428
110320,IVa,4522.7789999999995
110325,IVa,3938.196
110330,IVa,4293.327
110331,IVa,2430.1079999999997
110335,IVa,3574.047
110340,IVa,4503.528
110345,IVa,3356.931
110350,IVa,6578.28
110351,IVa,4491.315
110352,IVa,4003.308
110353,IVa,2635.503
110354,IVa,5768.193
110355,IVa,3891.18
110360,IVa,6979.452
110361,IVa,3245.277
110362,IVa,3272.961
110364,IVa,1965.885
110366,IVa,6336.726
110369,IVa,4526.478
110370,IVa,3578.13
110375,IVa,2451.825
110378,IVa,4051.947
110379,IVa,4073.91
110380,IVa,1397.703
110381,IVa,778.875
110385,IVa,969.459
110387,IVa,1227.693
110390,IVa,6570.816
110393,IVa,833.7959999999999
110400,IVa,227.718
110410,IVa,72.987
110425,IVa,1003.305
110430,IVa,87.639
110431,IVa,124.803
110432,IVa,106.845
110440,IVa,847.4069999999999
110445,IVa,579.501
110455,IVa,217.284
110465,IVa,360.978
110470,IVa,185.946
110475,IVa,375.504
110477,IVa,129.528
110485,IVa,126.90599999999999
110490,IVa,56.358
110492,IVa,64.101
110495,IVa,128.367
110503,IVa,118.773
110505,IVa,3.75
110510,IVa,9.321
110515,IVa,1.107
110601,IVa,0.183
110627,IVa,0.018
110720,IVa,2.9699999999999998
110725,IVa,4.437
110735,IVa,10.89
110750,IVa,44.226
110752,IVa,78.396
110754,IVa,46.443
110756,IVa,91.215
110758,IVa,88.25699999999999
110760,IVa,251.634
110775,IVa,175.047
110778,IVa,498.627
110781,IVa,202.245
110783,IVa,169.185
111300,IVa,6535.0199999999995
111301,IVa,3145.161
111302,IVa,2560.932
111303,IVa,1946.514
111304,IVa,5786.898
111305,IVa,3446.1659999999997
111306,IVa,3485.724
111307,IVa,3024.66
111308,IVa,3807.696
111309,IVa,2904.624
111310,IVa,4428.576
111351,IVa,36.963
111370,IVa,5613.831
111372,IVa,2520.801
111376,IVa,4281.72
111378,IVa,3975.645
111379,IVa,5093.556
111380,IVa,4685.613
111381,IVa,8830.869
111382,IVa,5926.728
111383,IVa,3749.991
111400,IVa,49.778999999999996
111704,IVa,236.409
111780,IVa,74.535
111781,IVa,52.452
111782,IVa,81.207
111783,IVa,449.235
111784,IVa,212.061
112300,IVa,0.861
112301,IVa,4338.777
112302,IVa,2523.615
112303,IVa,4117.797
112304,IVa,5300.595
112306,IVa,7801.92
112307,IVa,5398.974
112309,IVa,3363.417
112310,IVa,6618.747
112311,IVa,7707.945
112312,IVa,5700.6
112313,IVa,5529.465
112314,IVa,4309.275
112315,IVa,2654.841
112316,IVa,5336.745
112317,IVa,1812.306
112318,IVa,3083.037
112319,IVa,4653.813
112320,IVa,2067.198
112321,IVa,2477.322
112322,IVa,2570.697
112323,IVa,4.953
112407,IVa,1.8359999999999999
112707,IVa,175.308
112716,IVa,30.555
112717,IVa,2153.451
112799,IVa,1.233
113181,IVa,2.187
113300,IVa,6744.315
113301,IVa,2453.523
113302,IVa,4897.107
113303,IVa,4178.442
113304,IVa,56.964
113305,IVa,1916.634
113306,IVa,3065.64
113307,IVa,3396.999
113308,IVa,2936.643
113309,IVa,3054.399
113310,IVa,3001.854
113311,IVa,4879.7699999999995
113312,IVa,3892.023
113313,IVa,4820.271
113314,IVa,3413.961
113315,IVa,2655.105
113316,IVa,4093.332
113317,IVa,2957.0699999999997
113318,IVa,4232.37
113319,IVa,1821.093
113320,IVa,1700.52
113321,IVa,995.529
113322,IVa,3227.682
113323,IVa,2256.735
113324,IVa,3264.342
113326,IVa,3840.2999999999997
113328,IVa,4642.116
113329,IVa,2775.402
113330,IVa,3408.573
113331,IVa,3428.409
113332,IVa,3488.307
113333,IVa,1143.816
113334,IVa,1254.165
113390,IVa,4647.633
113394,IVa,2243.766
113396,IVa,2100.6839999999997
113402,IVa,795.288
113404,IVa,432.342
113405,IVa,604.995
113406,IVa,181.245
113407,IVa,352.212
113408,IVa,357.447
113409,IVa,946.23
113410,IVa,167.202
113411,IVa,369.396
113412,IVa,246.927
113413,IVa,12.384
113701,IVa,872.217
113702,IVa,365.58299999999997
113703,IVa,642.396
113713,IVa,392.682
113716,IVa,653.886
113717,IVa,446.796
113722,IVa,742.53
113728,IVa,643.9499999999999
113753,IVa,417.372
113790,IVa,596.4209999999999
114010,IVa,0.126
114102,IVa,857.364
114150,IVa,1.398
114301,IVa,10457.616
114302,IVa,3511.239
114303,IVa,6633.816
114304,IVa,3853.257
114305,IVa,5060.94
114306,IVa,5573.061
114307,IVa,2700.807
114308,IVa,2832.324
114309,IVa,3135.369
114310,IVa,1425.654
114311,IVa,2440.113
114312,IVa,5489.181
114313,IVa,2021.637
114314,IVa,3001.947
114315,IVa,2083.968
114316,IVa,5068.782
114317,IVa,2434.404
114318,IVa,1316.862
114319,IVa,3519.39
114320,IVa,5165.736
114321,IVa,3524.163
114322,IVa,9561.249
114323,IVa,2420.949
114324,IVa,6187.308
114325,IVa,4643.349
114326,IVa,3021.042
114327,IVa,1548.492
114328,IVa,3429.24
114329,IVa,2364.288
114330,IVa,3075.7019999999998
114331,IVa,5876.382
114332,IVa,4215.573
114333,IVa,1319.499
114334,IVa,3939.138
114401,IVa,196.734
114403,IVa,43.394999999999996
114406,IVa,80.34
114407,IVa,260.364
114408,IVa,2.703
114409,IVa,2.28
114410,IVa,33.39
114609,IVa,0.6779999999999999
114706,IVa,45.243
114714,IVa,673.548
114796,IVa,36.849
200037,IVa,8.883
200080,IVa,9.831
200137,IVa,0.366
200188,IVa,4.335
200210,IVa,896.9879999999999
200236,IVa,0.189
200265,IVa,20.724
200282,IVa,0.081
200304,IVa,216.54
200337,IVa,678.204
200342,IVa,7.635
200346,IVa,257.364
200347,IVa,503.274
200360,IVa,387.768
200361,IVa,1174.17
200365,IVa,88.539
200377,IVa,372.402
200385,IVa,145.47299999999998
200454,IVa,248.445
200554,IVa,287.751
200609,IVa,251.091
200643,IVa,82.068
200961,IVa,1277.352
200962,IVa,571.197
200965,IVa,1398.435
201091,IVa,3799.767
201112,IVa,3609.819
201129,IVa,115.97099999999999
201462,IVa,1866.5159999999998
311001,IVa,2095.056
5013502,IVa,0.366
109300,V,15269.106
109301,V,10204.352
109302,V,7709.696
109303,V,7879.429
109304,V,2981.719
109305,V,6677.303
109307,V,6658.506
109308,V,6881.628
109309,V,6474.405
109310,V,13714.535
109311,V,8933.91
109312,V,3680.703
109313,V,8607.688
109314,V,7110.323
109315,V,9801.07
109316,V,9465.954
109317,V,3150.431
109320,V,3140.469
109321,V,7417.8640000000005
109323,V,4435.477
109324,V,10288.693
109390,V,7503.372
109407,V,2473.254
109410,V,173.765
109412,V,180.29
109413,V,145.684
109414,V,456.839
109416,V,7.997
109417,V,18.095
109418,V,26.691
109419,V,22.102
109420,V,13.664
109709,V,1896.339
109711,V,1247.933
109712,V,1313.729
